time,WindAD,Wind (m/s),Speed,X (m/s^2),Y (m/s^2),Z (m/s^2),G (m/s^2),meta_stance,meta_speed_mph,meta_direction,position_lat,position_long,heart_rate,cadence,distance,power,enhanced_speed,enhanced_altitude
2025-05-11T11:05:39.000000,406,2.4497792,5.925879,-6.53555934,0.79739604,-0.04775508,6.58419732,up,13,EW,38.5396424,-121.7866606,136,81,699.53,101,5.933888888888888,17.2
2025-05-11T11:05:40.000000,401,2.1726144,5.974395,-11.526328170000001,1.4479363800000002,4.14817812,12.33531963,up,13,EW,38.539641,-121.7867289,137,82,705.47,87,5.953055555555556,17.2
2025-05-11T11:05:41.000000,418,3.2231584,5.898177,-7.1081199900000005,2.461329,3.44957859,8.27545113,up,13,EW,38.5396387,-121.7867988,138,81,711.44,86,5.961944444444445,17.4
2025-05-11T11:05:42.000000,405,2.391664,5.899143,-9.76988691,1.3055834700000002,5.34388959,11.21215311,up,13,EW,38.539639,-121.7868666,138,82,717.41,87,5.9719444444444445,17.4
2025-05-11T11:05:43.000000,396,1.9178016,5.981299,-11.66659155,1.77994602,5.532496650000001,13.03403688,up,13,EW,38.5396418,-121.7869361,139,81,723.33,68,5.925,17.4
2025-05-11T11:05:44.000000,392,1.7255744,6.017079,-5.33385396,-0.40595742000000007,2.9238705,6.09621849,up,13,EW,38.5396428,-121.7870032,139,82,729.29,77,5.953055555555556,17.4
2025-05-11T11:05:45.000000,403,2.2799039999999997,5.895874,-4.64574132,3.4533162,1.6251736500000002,6.01244109,up,13,EW,38.539641,-121.7870713,139,82,735.27,83,5.981111111111112,17.6
2025-05-11T11:05:46.000000,398,2.0161504,6.097208,-11.202706080000002,1.03180599,6.32000421,12.903789510000001,up,13,EW,38.5396391,-121.7871384,139,82,741.27,81,6.000000000000001,17.6
2025-05-11T11:05:47.000000,386,1.4707616,5.899943,-12.34273599,0.36568737,4.972208310000001,13.31164026,up,13,EW,38.539638,-121.7872056,139,82,747.22,71,5.953055555555556,17.6
2025-05-11T11:05:48.000000,401,2.1726144,5.880511,-9.48172797,3.2242919400000005,5.11546374,11.24577198,up,13,EW,38.5396391,-121.7872756,139,81,753.15,71,5.925,17.6
2025-05-11T11:05:49.000000,392,1.7255744,5.856465,-4.04923446,-1.57292559,1.35902835,4.55162418,up,13,EW,38.5396408,-121.7873445,139,81,759.02,92,5.868888888888889,17.6
2025-05-11T11:05:50.000000,397,1.966976,5.968726,-8.51922963,0.41389371,3.24734544,9.12654711,up,13,EW,38.539641,-121.7874102,139,82,764.91,85,5.896944444444444,17.6
2025-05-11T11:05:51.000000,401,2.1726144,5.979572,-9.13670046,1.33133472,4.96412487,10.48304448,up,13,EW,38.5396403,-121.7874773,139,81,770.81,84,5.896944444444444,17.6
2025-05-11T11:05:52.000000,411,2.7537664,5.778606,-7.61436504,0.49801446,3.94295292,8.5891455,up,13,EW,38.5396383,-121.7875448,138,81,776.69,87,5.878055555555556,17.6
2025-05-11T11:05:53.000000,408,2.57048,5.888301,-10.99643121,-1.7148370499999999,1.9637658,11.301267150000001,up,13,EW,38.5396406,-121.7876121,138,80,782.55,91,5.86,17.6
2025-05-11T11:05:54.000000,405,2.391664,5.987936,-14.677574850000001,3.10484538,7.96718169,16.98668208,up,13,EW,38.539641,-121.7876831,138,80,788.43,100,5.888055555555556,17.8
2025-05-11T11:05:55.000000,398,2.0161504,6.09034,-3.28357377,0.69604893,0.72284985,3.43349019,up,13,EW,38.539635,-121.787752,138,81,794.45,87,6.018055555555556,17.8
